"","i_PETROBRAS","a_PETROBRAS","r_PETROBRAS"
"1",1295,74,59.5
"2",1302,79,71.5
"3",1367,83,45.5
"4",2439,65,33.5
"5",2636,94,27.3333333333333
"6",2637,73,25.6666666666667
"7",2638,100,24
"8",2639,66,22.3333333333333
"9",2640,71,20.6666666666667
"10",2703,73,56.8
"11",2704,75,46.6
"12",2705,70,36.4
"13",2706,91,26.2
"14",2977,89,61
"15",2978,100,56
"16",2979,84,51
"17",2983,72,59.5
"18",2985,72,64
"19",3005,86,62.5
