date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class,sentimento
2022-03-31 14:00:00,0.0025163772234586546,32.0,16911400.0,-0.011902416984004405,26.0,31.0,0.0025094249757799947,0.3173409092383323,0.0762980768635475,0,0,1,-0.0050730581157945,0.0,0.8442
2022-03-31 15:00:00,0.0032904569807574724,27.0,8537200.0,-0.01184995668631883,19.0,29.0,0.0021180452744220535,0.3272991784802883,0.0690050768844028,0,0,0,0.0011997875028275,1.0,-0.1531
2022-03-31 16:00:00,0.000946155643706037,29.0,11506900.0,-0.0023785714582766904,25.0,23.0,0.001959855890081963,0.3345622923332314,0.0610145525898767,0,0,0,0.0059916344080197,1.0,0.9652
2022-04-01 10:00:00,-0.012707444438357252,38.0,0.0,-0.0007947727810864169,4.0,16.0,0.0024290482458768636,0.352394567269215,0.0630774620206883,0,0,0,-0.0014890723356533,0.0,0.8689
2022-04-01 11:00:00,-0.0007020933866374035,45.0,15037800.0,-0.006164274560498062,4.0,11.0,0.0023721447661610995,0.3583609829076835,0.0552351021273254,0,0,0,-0.0050700320648469,0.0,0.8934
2022-04-01 12:00:00,-0.0006599502859784279,45.0,8320000.0,-0.0025010004230665572,2.0,9.0,0.0024301489374871643,0.345390531735255,0.0338117207639175,0,0,0,0.0029975561238468,1.0,0.1779
2022-04-01 13:00:00,0.0014486642494835333,44.0,3063400.0,-0.001504377968671089,20.0,24.0,0.0015357852081834267,0.3392695091598483,0.0221525585508087,0,0,0,-0.0092647210722013,0.0,0.7184
2022-04-01 14:00:00,-0.0013827658603711157,41.0,11064100.0,-0.0049216339472203385,12.0,21.0,0.0009758205295051781,0.3058783670359162,-0.0089908668584987,0,0,0,-0.0009050555841066,0.0,0.0
2022-04-01 15:00:00,-0.006475758440690482,39.0,7202300.0,0.013122027264210079,13.0,22.0,0.001126795462006891,0.2738380531212101,-0.0328249446185638,0,0,0,-0.0021135174239643,0.0,0.0
2022-04-01 16:00:00,0.0005360328477821419,23.0,9750200.0,-0.008169730884262316,13.0,28.0,0.0012393448536960339,0.2400305602605001,-0.053305949983419,0,0,0,-0.0118002843767425,0.0,0.9778
2022-04-04 10:00:00,-0.01176474194695476,41.0,0.0,0.03857354314589179,2.0,8.0,0.0005810123379428322,0.1796967548818884,-0.0909118042896246,1,0,0,-0.0018371516708922,0.0,0.4939
2022-04-04 11:00:00,-0.0003252948488640106,72.0,4663200.0,-0.0030950739598926136,1.0,12.0,0.0003787008506073164,0.1255924188397372,-0.1160129122654206,1,0,0,-0.0033741349939514,0.0,0.3182
