date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class
2020-12-16 15:00:00,-0.004365609402439241,71.0,12464800.0,-0.00104469779404337,25.0,15.0,0.00040564363142991944,0.1323971292370629,-0.0060432330507684,0,0,1,0.0046230141140404,1.0
2020-12-17 10:00:00,-0.00839736338078656,57.0,5037100.0,0.006693153851340172,2.0,8.0,0.0008860457614607853,0.1561285795464293,0.0141505738068783,0,0,0,0.0,0.0
2020-12-17 11:00:00,0.00029603474403061547,75.0,5121600.0,0.006440838390072479,4.0,14.0,0.0011853510496802055,0.1729423530988221,0.0247714778874169,0,0,0,0.0014159616115874,1.0
2020-12-17 12:00:00,-0.001835248630409403,67.0,5012100.0,-0.0035094585830885983,5.0,23.0,0.001153973646402573,0.1873356407036048,0.0313318123937597,0,0,0,0.0,0.0
2020-12-17 13:00:00,0.00019769227034527326,62.0,3373100.0,-0.001035824250805506,23.0,30.0,0.001212522446814912,0.1964775538902188,0.0323789804642989,0,0,0,-0.0035348313267405,0.0
2020-12-17 14:00:00,0.0007709134424154218,71.0,2782600.0,0.001866448575477131,32.0,26.0,0.0011063928095340625,0.1934237226355328,0.0234601193676903,0,0,0,-0.0024831391804923,0.0
2020-12-17 15:00:00,0.003930522993225161,61.0,4975400.0,-0.0002070406943933678,32.0,21.0,0.0010603676750458035,0.1832428396137118,0.0106233890766954,0,0,0,0.0003555590766288,1.0
2020-12-18 10:00:00,0.001082143054151885,44.0,2944200.0,0.004140802610737682,4.0,4.0,-5.967702821929599e-05,0.1739757137261754,0.0010850105513273,0,0,0,0.0,0.0
2020-12-18 11:00:00,0.0011987698552113901,71.0,13153700.0,0.0026804343941284614,4.0,12.0,0.0004774333353270155,0.1647325157946149,-0.0065265499041866,0,0,0,0.0007110010081894,1.0
2020-12-18 12:00:00,-0.0001374051817665256,46.0,4357600.0,0.010281718877605206,7.0,14.0,0.0007008952248008793,0.1572088785382774,-0.0112401497284192,0,0,0,0.0007104958449271,1.0
2020-12-18 13:00:00,-0.0024344092632806458,65.0,1748300.0,-0.002238970241402072,24.0,13.0,0.0005066764293599757,0.151118214885102,-0.0138646507052757,0,0,0,0.0014199150894702,1.0
2020-12-18 14:00:00,0.002794602007571534,58.0,1542800.0,-0.0024479586039204415,29.0,22.0,0.000580892174208314,0.1478149865798066,-0.0137343032084568,0,0,0,0.0014179694018268,1.0
2020-12-18 15:00:00,-0.0022373119017544685,62.0,2947200.0,0.005316938924748493,45.0,30.0,0.0007443023627724532,0.1467334421481538,-0.0118526781120877,0,0,0,-0.0385840761978014,0.0
2020-12-21 10:00:00,0.01762358928281693,52.0,18466700.0,-0.03925956694805366,4.0,15.0,-0.0009519975417566773,0.0572623231744842,-0.0810590376686059,1,1,0,0.0,0.0
2020-12-21 11:00:00,-0.004619524268815733,52.0,11145100.0,0.0019055717438110076,2.0,11.0,-0.0008635705985984288,-0.0134886939493235,-0.1214480438339309,1,1,0,-0.0029455053076401,0.0
2020-12-21 12:00:00,0.0003884290549378555,54.0,18197000.0,-0.0033812309476749514,7.0,17.0,-0.0011623585173954343,-0.0751484455077822,-0.1464862363139117,1,1,0,-0.0014770682530058,0.0
2020-12-21 13:00:00,-0.004483942589244783,51.0,5543200.0,-0.005301102646498856,29.0,16.0,-0.0012233871304559996,-0.1257917791988063,-0.1577036560039486,1,1,0,-0.0007396618745003,0.0
2020-12-21 14:00:00,0.0005849941561018035,60.0,7236800.0,0.005542492483029626,27.0,24.0,-0.001284634699488696,-0.1656315583031364,-0.158034748086623,1,1,0,0.0148038346318881,1.0
2020-12-21 15:00:00,-0.0036245273279807977,57.0,10527300.0,0.01314400616174316,35.0,21.0,-0.0005384474913106008,-0.1630487198462411,-0.1243615277037821,0,0,1,-0.0021881643244143,0.0
2020-12-22 10:00:00,0.0033443228485301457,53.0,6740800.0,-0.009416211640900896,2.0,10.0,-0.0005985957178229473,-0.163953305576598,-0.1002128907473112,0,0,1,-0.0069444638091757,0.0
2020-12-22 11:00:00,0.0056722821271388835,39.0,5231200.0,-0.005280946328563352,11.0,11.0,-0.0007486935255993643,-0.1779503506112263,-0.0913679486255516,0,0,0,0.0,0.0
2020-12-22 12:00:00,-0.0034306434958902843,59.0,3302500.0,0.004247202427083874,2.0,21.0,-0.0007942107857827896,-0.1868887722125904,-0.0802450961815326,0,0,0,-0.0011041842679889,0.0
2020-12-22 13:00:00,0.0034424533260031254,51.0,2978100.0,-0.0014802218961521563,16.0,31.0,-0.0008248367454889438,-0.1941552396701382,-0.0700092509112643,0,0,0,0.001473873118162,1.0
2020-12-22 14:00:00,-0.0006783836649649766,57.0,2274200.0,-0.0014824162010721453,31.0,42.0,-0.001200749320480754,-0.1944447894062619,-0.0562390405179104,0,0,0,0.0036791898582386,1.0
2020-12-22 15:00:00,0.0006400927223464414,46.0,5851000.0,0.00042410694420502715,26.0,26.0,-0.0012623039284953563,-0.184478511168816,-0.0370182098243716,0,0,0,0.0047653650107948,1.0
2020-12-23 10:00:00,0.0017057296155607027,43.0,5228400.0,0.00021204444813927026,0.0,12.0,-0.0012638993536144838,-0.1641975508798197,-0.0133897996283001,0,0,0,0.0226195126845991,1.0
2020-12-23 11:00:00,-0.0007934214391902561,52.0,11525100.0,0.009749874554837445,4.0,15.0,-0.0003314390716222526,-0.0969779560606483,0.0430638361526969,0,0,1,0.0,0.0
2020-12-23 12:00:00,0.006158308133888513,60.0,8523200.0,0.0073468155605058705,7.0,27.0,-0.0003918321568622263,-0.043207869452349,0.077467138208797,0,0,0,0.0057081642344853,1.0
2020-12-23 13:00:00,0.002617574967903158,53.0,6342600.0,0.008126680058513802,21.0,33.0,-0.000150764192199615,0.0121756092446076,0.1062804935246029,0,0,1,-0.0021284630065375,0.0
2020-12-23 14:00:00,0.0007103310325686785,58.0,2413800.0,-0.004133955322941585,27.0,28.0,-9.047388089422626e-05,0.0506420358900108,0.1157975361360048,0,0,0,-0.0017774347156854,0.0
2020-12-23 15:00:00,-0.0019951073173998246,50.0,3272200.0,0.002283117676521673,22.0,18.0,-6.032137810518812e-05,0.0762138892980743,0.1130955116352547,0,0,0,0.0067664008039123,1.0
2020-12-28 10:00:00,0.00024994425060853587,63.0,3321000.0,0.0022779169241264885,2.0,4.0,0.00021113468302158545,0.1105370205904883,0.1179349143421349,0,0,0,-0.0007074799235873,0.0
2020-12-28 11:00:00,0.01047304355475398,57.0,6945100.0,-0.001033120871516524,6.0,11.0,0.00018093397308782677,0.1345732035126232,0.1135768778114159,0,0,0,0.0028318557064088,1.0
2020-12-28 12:00:00,0.006675158200614595,56.0,7293300.0,-0.005584212028691415,2.0,12.0,0.00027135042519743635,0.1582531332941243,0.1098054460743336,0,0,0,0.0021178773774785,1.0
2020-12-28 13:00:00,0.0025126420314305342,58.0,2254600.0,0.0031197526095925188,21.0,20.0,0.0003315589536183605,0.1797886125053018,0.1050727402284089,0,0,0,-0.0028178909977443,0.0
2020-12-28 14:00:00,-0.0071985182438929485,72.0,2462500.0,-0.00062199418580966,27.0,23.0,0.00015065970799610362,0.1882305055801794,0.0908117066426291,0,0,0,0.000706480329953,1.0
2020-12-28 15:00:00,-0.002163755578071691,67.0,3327600.0,-0.007676326266145117,8.0,40.0,0.00012050903582161432,0.1942949254965746,0.0775009012472195,0,0,0,-0.0007059815678619,0.0
2020-12-29 10:00:00,-0.014266474786524874,57.0,2498700.0,0.006899393763835526,4.0,4.0,0.00173210973249871,0.1952365863445457,0.0627540496761525,0,0,0,-0.0014128932862337,0.0
2020-12-29 11:00:00,0.0038208808876913913,52.0,5639200.0,-0.002906964079983476,4.0,15.0,0.0016689730668424385,0.1905586323810446,0.0464608765701211,0,0,0,-0.0021224397707619,0.0
2020-12-29 12:00:00,-0.0028258782171887153,81.0,2664600.0,0.003331941813554007,4.0,18.0,0.0016962115261791588,0.1799355260516009,0.0286702161925418,0,0,0,-0.0021268864902376,0.0
2020-12-29 13:00:00,-0.003739998365560493,64.0,2418900.0,-0.0008302390052713493,28.0,28.0,0.0016633679499160614,0.1647757500083209,0.0108083521194095,0,0,0,-0.0035524114680237,0.0
2020-12-29 14:00:00,0.002457541119108564,62.0,3432300.0,-0.004777722167686349,21.0,25.0,0.0015409224284166356,0.1430434078627698,-0.0087391920209132,0,0,0,0.0028520472685202,1.0
2020-12-29 15:00:00,0.002084718604868696,60.0,2866800.0,0.0,23.0,16.0,0.0010605549031212913,0.1307682800630374,-0.0168114558565165,0,0,0,0.003199436732064,1.0
2020-12-30 10:00:00,0.004546087079525085,59.0,3373800.0,0.005009427660846999,2.0,6.0,0.0012832545553407293,0.1268402772347805,-0.0165915669478187,0,0,0,0.0038979664432348,1.0
2020-12-30 11:00:00,-0.0018984243315784965,57.0,3740000.0,0.0026998390300798647,6.0,18.0,0.0017286855324194494,0.1310922863605164,-0.0098716462576662,0,0,1,0.0,0.0
2020-12-30 12:00:00,-0.006071085290549116,61.0,2819600.0,0.0008285193980677175,4.0,11.0,0.0017257023357586387,0.1329297033523566,-0.0064273834126608,0,0,0,-0.0028238589453404,0.0
2020-12-30 13:00:00,0.0006765347337909233,55.0,3509500.0,-0.007450343804330073,27.0,28.0,0.001648474962517632,0.1264726463596979,-0.0103075523242556,1,0,0,0.0035398365122027,1.0
2020-12-30 14:00:00,-0.001680521953815628,65.0,2290700.0,-0.0010425195582777214,27.0,33.0,0.0017347212306004778,0.1279496532620712,-0.0070644363375059,0,0,1,0.0017636414951596,1.0
2020-12-30 15:00:00,0.001315772356343281,69.0,3786500.0,0.006261724859444984,16.0,20.0,0.0016577104871569048,0.1316372798227512,-0.0027014478214607,0,0,0,0.0140844937994042,1.0
2021-01-04 10:00:00,-0.004077303086532202,48.0,7970000.0,0.015349547656497098,3.0,10.0,0.002053933354242421,0.1649351074687466,0.0244771038596277,0,0,1,0.010416706679045,1.0
2021-01-04 11:00:00,-0.004947767093194666,50.0,11329900.0,-0.0059244312769635155,2.0,12.0,0.001577844842961973,0.2130752619309426,0.058093806657459,0,0,1,-0.0127148053052607,0.0
2021-01-04 12:00:00,0.016652388081711322,46.0,14597200.0,-0.01993426271567733,7.0,13.0,0.0010306074122377051,0.2188479625886188,0.0510932058521081,0,0,0,-0.0006961523871334,0.0
2021-01-04 13:00:00,0.006482819713793386,55.0,8534600.0,0.000209732365663573,18.0,12.0,0.0007648049814064084,0.2192812617713073,0.0412212040278373,0,0,0,-0.0024381643001191,0.0
2021-01-04 14:00:00,0.0013339373004035426,65.0,10941500.0,-0.0012578904052688022,22.0,30.0,0.000749526379453247,0.2115377881903306,0.0267821843574885,0,0,0,0.0062849269906353,1.0
