date,dollar,CRISE,r_vol,r_oil,r_PETR4,r_PETROBRAS,ma24,macd,macdsignal,macdhist,bbands,rsi_dummy,atr_dummy,target_value,target_class
2022-01-28 15:00:00,5.389100074768066,60.0,11681300.0,87.11000061035156,25.0,34.0,33.54249986012777,0.28145269154487806,0.4794246027605139,-0.19797191121563584,1,0,0,-0.008497802352377293,0.0
2022-01-31 10:00:00,5.361299991607666,41.0,10414800.0,87.47000122070312,2.0,19.0,33.572916428248085,0.18461334752249314,0.42046235171290974,-0.2358490041904166,1,0,0,-0.01101918628194154,0.0
2022-01-31 11:00:00,5.365200042724609,23.0,11848600.0,86.87999725341797,0.0,11.0,33.58999983469645,0.0779205176804254,0.3519539849064129,-0.2740334672259875,1,0,0,0.0024759521187625033,1.0
2022-01-31 12:00:00,5.308800220489502,59.0,7693100.0,87.2699966430664,5.0,16.0,33.60416650772095,-0.00017710573633422655,0.28152776677786345,-0.2817048725141977,1,0,0,0.004631106165653209,1.0
2022-01-31 13:00:00,5.28849983215332,68.0,5676300.0,87.29000091552734,14.0,26.0,33.60708316167196,-0.04939675044303726,0.2153428633336833,-0.26473961377672056,1,0,0,-0.004609757887478416,0.0
2022-01-31 14:00:00,5.304800033569336,65.0,3918100.0,87.79000091552734,17.0,30.0,33.589166482289635,-0.0993621578993924,0.15240185908706816,-0.25176401698646056,1,0,0,-0.0009261741235617738,0.0
2022-01-31 15:00:00,5.299699783325195,60.0,4066100.0,87.83999633789062,11.0,30.0,33.56458314259847,-0.13976957738432816,0.09396757179278889,-0.23373714917711705,0,0,0,-0.004635399352586056,0.0
2022-02-01 10:00:00,5.287700176239014,79.0,7327800.0,87.23999786376953,0.0,17.0,33.4916664759318,-0.1818009300151857,0.03881387143119396,-0.22061480144637968,0,0,0,0.01148720140015147,1.0
2022-02-01 11:00:00,5.27899980545044,37.0,8180400.0,87.54000091552734,6.0,23.0,33.43583329518636,-0.1831437828616984,-0.005577659427384515,-0.17756612343431388,0,0,1,0.021485479094570215,1.0
2022-02-01 12:00:00,5.280399799346924,70.0,13830500.0,88.23999786376953,15.0,19.0,33.40791654586792,-0.12626855451572538,-0.02971583844505269,-0.0965527160706727,0,0,1,-0.006911044190885285,0.0
2022-02-01 13:00:00,5.2804999351501465,53.0,4610600.0,87.94000244140625,19.0,31.0,33.361249923706055,-0.09861677437160665,-0.043496025630363484,-0.05512074874124317,0,0,0,-0.003025672509213262,0.0
2022-02-01 14:00:00,5.284999847412109,45.0,2652400.0,88.04000091552734,15.0,20.0,33.3125,-0.08380552262878638,-0.051557925030048066,-0.03224759759873831,0,0,0,0.0009104333414953203,1.0
2022-02-01 15:00:00,5.27209997177124,58.0,4220500.0,87.91000366210938,16.0,38.0,33.27250003814697,-0.06885315185925833,-0.05501697039589012,-0.013836181463368215,0,0,0,-0.003941815340195665,0.0
2022-02-02 10:00:00,5.293600082397461,55.0,7729100.0,89.4000015258789,4.0,4.0,33.20250002543131,-0.06672413572869118,-0.05735840346245033,-0.00936573226624085,0,0,0,-0.010045602182215951,0.0
2022-02-02 11:00:00,5.307199954986572,38.0,6692300.0,87.77999877929688,2.0,21.0,33.13208341598511,-0.09062034222210258,-0.06401079121438077,-0.026609551007721804,0,0,0,0.00615008487466695,1.0
2022-02-02 12:00:00,5.298999786376953,57.0,3264100.0,88.01000213623047,0.0,29.0,33.06208340326945,-0.09235525405826905,-0.06967968378315843,-0.02267557027511062,0,0,0,-0.00519565945294076,0.0
2022-02-02 13:00:00,5.305200099945068,80.0,2591800.0,87.7699966430664,17.0,24.0,32.991666634877525,-0.10622344574118614,-0.07698843617476397,-0.029235009566422165,0,0,0,-0.0015360749072957924,0.0
2022-02-02 14:00:00,5.29449987411499,48.0,2784400.0,87.66999816894531,26.0,22.0,32.931249936421715,-0.11986685761449678,-0.08556412046271053,-0.03430273715178625,0,0,0,-0.0006153987004207107,0.0
2022-02-02 15:00:00,5.281300067901611,53.0,2342800.0,88.30999755859375,18.0,34.0,32.87833325068156,-0.13078561445804837,-0.0946084192617781,-0.03617719519627027,0,0,0,-0.015086200062317645,0.0
2022-02-03 10:00:00,5.314000129699707,49.0,10010000.0,87.43000030517578,0.0,11.0,32.79166658719381,-0.176938062507773,-0.11107434791097708,-0.06586371459679592,1,0,0,0.0025007791271784985,1.0
2022-02-03 11:00:00,5.301400184631348,41.0,4721200.0,87.31999969482422,0.0,27.0,32.707916498184204,-0.2046992394304894,-0.12979932621487955,-0.07489991321560985,1,0,0,-0.0012473001530398653,0.0
2022-02-03 12:00:00,5.287300109863281,56.0,5103100.0,88.58999633789062,7.0,13.0,32.63041647275289,-0.2273076506293208,-0.1493009910977678,-0.078006659531553,1,0,0,-0.009678410170366858,0.0
2022-02-03 13:00:00,5.306099891662598,68.0,5371400.0,88.8499984741211,25.0,25.0,32.5541664759318,-0.26715969485595537,-0.1728727318494053,-0.09428696300655007,1,1,0,0.007881462970106279,1.0
2022-02-03 14:00:00,5.294600009918213,42.0,5757100.0,88.62999725341797,19.0,16.0,32.50249981880188,-0.2753952315593793,-0.1933772317914001,-0.08201799976797919,1,0,1,0.0009384012289603838,1.0
2022-02-03 15:00:00,5.294899940490723,50.0,5088300.0,90.18000030517578,19.0,23.0,32.462916453679405,-0.27631595076487514,-0.20996497558609512,-0.06635097517878003,0,0,0,0.017812490463256836,1.0
2022-02-04 10:00:00,5.334099769592285,42.0,9470900.0,92.33999633789062,6.0,13.0,32.458749850591026,-0.22841835111636755,-0.2136556506921496,-0.014762700424217956,0,0,0,0.010439059127222539,1.0
2022-02-04 11:00:00,5.330100059509277,58.0,10253100.0,92.9000015258789,5.0,20.0,32.483749787012734,-0.16116616427800068,-0.2031577534093198,0.04199158913131912,0,0,1,-0.00425400760551653,0.0
